# norm1   norm2  g21_pred   casA_pred   g21_diff   casA_diff   g21_chisq   casA_chisq
0.0 0.79 0.129096 0.005444 -0.7614 -0.8255 176.0009 0.0166
0.0 0.8 0.123123 0.005195 -0.7724 -0.8335 181.1421 0.0169
0.0 0.81 0.11715 0.004946 -0.7835 -0.8415 186.3574 0.0172
0.0 0.82 0.111177 0.004697 -0.7945 -0.8494 191.6467 0.0176
0.0 0.83 0.105205 0.004449 -0.8055 -0.8574 197.01 0.0179
0.0 0.84 0.099232 0.0042 -0.8166 -0.8654 202.4473 0.0182
0.0 0.85 0.093259 0.003951 -0.8276 -0.8734 207.9587 0.0186
0.0 0.86 0.087286 0.003703 -0.8387 -0.8813 213.544 0.0189
0.0 0.87 0.081313 0.003454 -0.8497 -0.8893 219.2034 0.0192
0.0 0.88 0.07534 0.003205 -0.8607 -0.8973 224.9368 0.0196
0.0 0.89 0.069367 0.002956 -0.8718 -0.9052 230.7441 0.0199
0.0 0.9 0.063394 0.002708 -0.8828 -0.9132 236.6256 0.0203
0.0 0.91 0.057422 0.002459 -0.8939 -0.9212 242.581 0.0206
0.0 0.92 0.051449 0.00221 -0.9049 -0.9292 248.6104 0.021
0.0 0.93 0.045476 0.001961 -0.9159 -0.9371 254.7139 0.0214
0.0 0.94 0.039503 0.001713 -0.927 -0.9451 260.8913 0.0217
0.0 0.95 0.03353 0.001464 -0.938 -0.9531 267.1428 0.0221
0.0 0.96 0.027557 0.001215 -0.9491 -0.9611 273.4683 0.0225
0.0 0.97 0.021584 0.000966 -0.9601 -0.969 279.8678 0.0228
0.0 0.98 0.015611 0.000718 -0.9711 -0.977 286.3414 0.0232
0.0 0.99 0.009639 0.000469 -0.9822 -0.985 292.8889 0.0236
0.01 0.0 0.600833 0.02509 0.1106 -0.1958 3.7137 0.0009
0.01 0.01 0.594861 0.024841 0.0996 -0.2038 3.0093 0.001
0.01 0.02 0.588888 0.024592 0.0885 -0.2118 2.3789 0.0011
0.01 0.03 0.582915 0.024343 0.0775 -0.2198 1.8225 0.0012
0.01 0.04 0.576942 0.024095 0.0664 -0.2277 1.3401 0.0013
0.01 0.05 0.570969 0.023846 0.0554 -0.2357 0.9317 0.0014
0.01 0.06 0.564996 0.023597 0.0444 -0.2437 0.5973 0.0014
0.01 0.07 0.559023 0.023348 0.0333 -0.2517 0.337 0.0015
0.01 0.08 0.55305 0.0231 0.0223 -0.2596 0.1506 0.0016
0.01 0.09 0.547078 0.022851 0.0112 -0.2676 0.0383 0.0017
0.01 0.1 0.541105 0.022602 0.0002 -0.2756 0.0 0.0018
0.01 0.11 0.535132 0.022354 -0.0108 -0.2835 0.0357 0.002
0.01 0.12 0.529159 0.022105 -0.0219 -0.2915 0.1454 0.0021
0.01 0.13 0.523186 0.021856 -0.0329 -0.2995 0.3292 0.0022
0.01 0.14 0.517213 0.021607 -0.044 -0.3075 0.5869 0.0023
0.01 0.15 0.51124 0.021359 -0.055 -0.3154 0.9187 0.0024
0.01 0.16 0.505268 0.02111 -0.066 -0.3234 1.3245 0.0025
0.01 0.17 0.499295 0.020861 -0.0771 -0.3314 1.8043 0.0027
0.01 0.18 0.493322 0.020612 -0.0881 -0.3393 2.3581 0.0028
0.01 0.19 0.487349 0.020364 -0.0992 -0.3473 2.9859 0.0029
0.01 0.2 0.481376 0.020115 -0.1102 -0.3553 3.6878 0.0031
0.01 0.21 0.475403 0.019866 -0.1213 -0.3633 4.4636 0.0032
0.01 0.22 0.46943 0.019617 -0.1323 -0.3712 5.3135 0.0034
0.01 0.23 0.463457 0.019369 -0.1433 -0.3792 6.2374 0.0035
0.01 0.24 0.457485 0.01912 -0.1544 -0.3872 7.2353 0.0036
0.01 0.25 0.451512 0.018871 -0.1654 -0.3952 8.3072 0.0038
0.01 0.26 0.445539 0.018622 -0.1765 -0.4031 9.4532 0.004
0.01 0.27 0.439566 0.018374 -0.1875 -0.4111 10.6731 0.0041
0.01 0.28 0.433593 0.018125 -0.1985 -0.4191 11.9671 0.0043
0.01 0.29 0.42762 0.017876 -0.2096 -0.427 13.335 0.0044
0.01 0.3 0.421647 0.017627 -0.2206 -0.435 14.777 0.0046
0.01 0.31 0.415674 0.017379 -0.2317 -0.443 16.293 0.0048
0.01 0.32 0.409702 0.01713 -0.2427 -0.451 17.8831 0.0049
0.01 0.33 0.403729 0.016881 -0.2537 -0.4589 19.5471 0.0051
0.01 0.34 0.397756 0.016633 -0.2648 -0.4669 21.2852 0.0053
0.01 0.35 0.391783 0.016384 -0.2758 -0.4749 23.0972 0.0055
0.01 0.36 0.38581 0.016135 -0.2869 -0.4829 24.9833 0.0057
0.01 0.37 0.379837 0.015886 -0.2979 -0.4908 26.9434 0.0059
0.01 0.38 0.373864 0.015638 -0.3089 -0.4988 28.9775 0.0061
0.01 0.39 0.367891 0.015389 -0.32 -0.5068 31.0857 0.0062
0.01 0.4 0.361919 0.01514 -0.331 -0.5147 33.2678 0.0064
0.01 0.41 0.355946 0.014891 -0.3421 -0.5227 35.524 0.0066
0.01 0.42 0.349973 0.014643 -0.3531 -0.5307 37.8541 0.0069
0.01 0.43 0.344 0.014394 -0.3641 -0.5387 40.2583 0.0071
0.01 0.44 0.338027 0.014145 -0.3752 -0.5466 42.7365 0.0073
0.01 0.45 0.332054 0.013896 -0.3862 -0.5546 45.2887 0.0075
0.01 0.46 0.326081 0.013648 -0.3973 -0.5626 47.915 0.0077
0.01 0.47 0.320108 0.013399 -0.4083 -0.5705 50.6152 0.0079
0.01 0.48 0.314136 0.01315 -0.4193 -0.5785 53.3895 0.0081
0.01 0.49 0.308163 0.012901 -0.4304 -0.5865 56.2378 0.0084
0.01 0.5 0.30219 0.012653 -0.4414 -0.5945 59.1601 0.0086
0.01 0.51 0.296217 0.012404 -0.4525 -0.6024 62.1564 0.0088
0.01 0.52 0.290244 0.012155 -0.4635 -0.6104 65.2267 0.0091
0.01 0.53 0.284271 0.011906 -0.4745 -0.6184 68.371 0.0093
0.01 0.54 0.278298 0.011658 -0.4856 -0.6264 71.5894 0.0095
0.01 0.55 0.272325 0.011409 -0.4966 -0.6343 74.8818 0.0098
0.01 0.56 0.266353 0.01116 -0.5077 -0.6423 78.2481 0.01
0.01 0.57 0.26038 0.010912 -0.5187 -0.6503 81.6885 0.0103
0.01 0.58 0.254407 0.010663 -0.5297 -0.6582 85.2029 0.0105
0.01 0.59 0.248434 0.010414 -0.5408 -0.6662 88.7914 0.0108
0.01 0.6 0.242461 0.010165 -0.5518 -0.6742 92.4538 0.0111
0.01 0.61 0.236488 0.009917 -0.5629 -0.6822 96.1903 0.0113
0.01 0.62 0.230515 0.009668 -0.5739 -0.6901 100.0007 0.0116
0.01 0.63 0.224542 0.009419 -0.5849 -0.6981 103.8852 0.0119
0.01 0.64 0.21857 0.00917 -0.596 -0.7061 107.8437 0.0121
0.01 0.65 0.212597 0.008922 -0.607 -0.7141 111.8762 0.0124
0.01 0.66 0.206624 0.008673 -0.6181 -0.722 115.9828 0.0127
0.01 0.67 0.200651 0.008424 -0.6291 -0.73 120.1633 0.013
0.01 0.68 0.194678 0.008175 -0.6402 -0.738 124.4179 0.0132
0.01 0.69 0.188705 0.007927 -0.6512 -0.7459 128.7465 0.0135
0.01 0.7 0.182732 0.007678 -0.6622 -0.7539 133.149 0.0138
0.01 0.71 0.17676 0.007429 -0.6733 -0.7619 137.6257 0.0141
0.01 0.72 0.170787 0.00718 -0.6843 -0.7699 142.1763 0.0144
0.01 0.73 0.164814 0.006932 -0.6954 -0.7778 146.8009 0.0147
0.01 0.74 0.158841 0.006683 -0.7064 -0.7858 151.4996 0.015
0.01 0.75 0.152868 0.006434 -0.7174 -0.7938 156.2722 0.0153
0.01 0.76 0.146895 0.006185 -0.7285 -0.8017 161.1189 0.0156
0.01 0.77 0.140922 0.005937 -0.7395 -0.8097 166.0396 0.016
0.01 0.78 0.134949 0.005688 -0.7506 -0.8177 171.0343 0.0163
0.01 0.79 0.128977 0.005439 -0.7616 -0.8257 176.1031 0.0166
0.01 0.8 0.123004 0.00519 -0.7726 -0.8336 181.2458 0.0169
0.01 0.81 0.117031 0.004942 -0.7837 -0.8416 186.4626 0.0172
0.01 0.82 0.111058 0.004693 -0.7947 -0.8496 191.7533 0.0176
0.01 0.83 0.105085 0.004444 -0.8058 -0.8576 197.1181 0.0179
0.01 0.84 0.099112 0.004196 -0.8168 -0.8655 202.5569 0.0182
0.01 0.85 0.093139 0.003947 -0.8278 -0.8735 208.0697 0.0186
0.01 0.86 0.087166 0.003698 -0.8389 -0.8815 213.6566 0.0189
0.01 0.87 0.081194 0.003449 -0.8499 -0.8894 219.3174 0.0192
