# Ang	-new/-old	+new/+old
# N	N	N
20.34	0.979261	0.979335
20.43	0.979268	0.979299
20.52	0.979275	0.979263
20.61	0.979173	0.979135
20.7	0.979177	0.979104
20.79	0.979177	0.979064
20.88	0.979177	0.979041
20.97	0.979178	0.979018
21.06	0.979178	0.978902
21.15	0.979085	0.978879
21.24	0.979068	0.978856
21.33	0.979068	0.978816
21.42	0.979068	0.978793
21.51	0.979069	0.97877
21.6	0.979042	0.97867
21.69	0.978885	0.978685
21.78	0.978804	0.978699
21.87	0.978739	0.978697
21.96	0.978675	0.978712
22.05	0.978611	0.978634
22.14	0.978454	0.978648
22.23	0.97839	0.978663
22.32	0.978309	0.978678
22.41	0.978245	0.978676
22.5	0.978181	0.97869
22.59	0.978151	0.978601
22.68	0.978061	0.978595
22.77	0.978063	0.978589
22.86	0.978065	0.978565
22.95	0.978049	0.978559
23.04	0.978051	0.97846
23.13	0.97796	0.978454
23.22	0.977962	0.978448
23.31	0.977964	0.978442
23.4	0.977966	0.978418
23.49	0.977951	0.978412
23.58	0.977953	0.978313
23.67	0.977862	0.978307
23.76	0.977864	0.978301
23.85	0.977866	0.978295
23.94	0.977868	0.978271
24.03	0.97787	0.978172
24.12	0.977855	0.978166
24.21	0.977764	0.97816
24.3	0.977766	0.978154
24.39	0.977768	0.978148
24.48	0.97777	0.978124
24.57	0.977772	0.978025
24.66	0.977664	0.978019
24.75	0.977666	0.978013
24.84	0.977667	0.978008
24.93	0.977667	0.978003
25.02	0.977668	0.977889
25.11	0.977668	0.977884
25.2	0.977576	0.97788
25.29	0.977559	0.977875
25.38	0.977559	0.977871
25.47	0.97756	0.977757
25.56	0.97756	0.977752
25.65	0.977468	0.977748
25.74	0.977468	0.977743
25.83	0.977451	0.977739
25.92	0.977452	0.977734
26.01	0.977452	0.97762
26.1	0.977452	0.977615
26.19	0.97736	0.977611
26.28	0.97736	0.977606
26.37	0.977343	0.977602
26.46	0.977344	0.977505
26.55	0.977344	0.977483
26.64	0.977345	0.977479
26.73	0.977252	0.977474
26.82	0.977253	0.97747
26.91	0.977253	0.977465
  27	0.977236	0.977368
27.09	0.977237	0.977346
27.18	0.977144	0.977342
27.27	0.977145	0.977338
27.36	0.977145	0.977333
27.45	0.977145	0.977236
27.54	0.977129	0.977231
27.63	0.977121	0.977197
27.72	0.977019	0.977178
27.81	0.977011	0.977159
27.9	0.977002	0.977141
27.99	0.976993	0.977029
28.08	0.976984	0.976993
28.17	0.976866	0.976974
28.26	0.976857	0.976955
28.35	0.976848	0.976936
28.44	0.976839	0.976824
28.53	0.97683	0.976806
28.62	0.976822	0.97677
28.71	0.976703	0.976751
28.8	0.976694	0.976732
28.89	0.976685	0.976713
28.98	0.976677	0.976601
29.07	0.976668	0.976582
29.16	0.976659	0.976546
29.25	0.97654	0.976527
29.34	0.976532	0.976508
29.43	0.976523	0.976397
29.52	0.976514	0.976378
29.61	0.976505	0.976359
29.7	0.976404	0.976323
29.79	0.976395	0.976304
29.88	0.976369	0.976285
29.97	0.97636	0.976174
30.06	0.976351	0.976155
30.15	0.976343	0.976136
30.24	0.976241	0.9761
30.33	0.976232	0.976081
30.42	0.976206	0.975969
30.51	0.976198	0.975951
30.6	0.976189	0.975932
30.69	0.976087	0.975913
30.78	0.976079	0.975877
30.87	0.97607	0.975858
30.96	0.976061	0.975746
31.05	0.976012	0.975732
31.14	0.975964	0.97572
31.23	0.975823	0.975691
31.32	0.975775	0.97568
31.41	0.975727	0.975575
31.5	0.97568	0.975564
31.59	0.975614	0.975552
31.68	0.975567	0.97554
31.77	0.975426	0.975512
31.86	0.975378	0.9755
31.95	0.97533	0.975396
32.04	0.975282	0.975384
32.13	0.975217	0.975372
